County/State,Population
"Kern County, California",883053
"Kings County, California",150075
"Lake County, California",64148
"Lassen County, California",31185
"Los Angeles County, California",10098052
"Madera County, California",155013
"Marin County, California",260295
"Mariposa County, California",17540
"Mendocino County, California",87422
"Merced County, California",269075
"Modoc County, California",8938
"Mono County, California",14174
"Monterey County, California",433212
"Napa County, California",140530
"Nevada County, California",99092
"Orange County, California",3164182
"Placer County, California",380077
"Plumas County, California",18699
"Riverside County, California",2383286
"Sacramento County, California",1510023
"San Benito County, California",59416
"San Bernardino County, California",2135413
"San Diego County, California",3302833
"San Francisco County, California",870044
"San Joaquin County, California",732212
"San Luis Obispo County, California",281455
"San Mateo County, California",765935
"Santa Barbara County, California",443738
"Santa Clara County, California",1922200
"Santa Cruz County, California",273765
"Shasta County, California",179085
"Sierra County, California",2930
"Siskiyou County, California",43540
"Solano County, California",438530
"Sonoma County, California",501317
"Stanislaus County, California",539301
"Sutter County, California",95872
"Tehama County, California",63373
"Trinity County, California",12862
"Tulare County, California",460477
"Tuolumne County, California",53932
"Ventura County, California",848112
"Yolo County, California",214977
"Yuba County, California",75493
"Adams County, Colorado",497115
"Alamosa County, Colorado",16444
"Arapahoe County, Colorado",636671
"Archuleta County, Colorado",12908
"Baca County, Colorado",3563
"Bent County, Colorado",5809
"Boulder County, Colorado",321030
"Broomfield County, Colorado",66120
"Chaffee County, Colorado",19164
"Cheyenne County, Colorado",2039
"Clear Creek County, Colorado",9379
"Conejos County, Colorado",8142
"Costilla County, Colorado",3687
"Crowley County, Colorado",5630
"Custer County, Colorado",4640
"Delta County, Colorado",30346
"Denver County, Colorado",693417
"Dolores County, Colorado",1841
"Douglas County, Colorado",328614
"Eagle County, Colorado",54357
"Elbert County, Colorado",25162
"El Paso County, Colorado",688153
"Fremont County, Colorado",47002
"Garfield County, Colorado",58538
"Gilpin County, Colorado",5924
"Grand County, Colorado",15066
"Gunnison County, Colorado",16537
"Hinsdale County, Colorado",878
"Huerfano County, Colorado",6583
"Jackson County, Colorado",1296
"Jefferson County, Colorado",570427
"Kiowa County, Colorado",1449
"Kit Carson County, Colorado",7635
"Lake County, Colorado",7585
"La Plata County, Colorado",55101
"Larimer County, Colorado",338161
"Las Animas County, Colorado",14179
"Lincoln County, Colorado",5548
"Logan County, Colorado",21689
"Mesa County, Colorado",149998
"Mineral County, Colorado",823
"Moffat County, Colorado",13060
"Montezuma County, Colorado",25909
"Montrose County, Colorado",41268
"Morgan County, Colorado",28257
"Otero County, Colorado",18325
"Ouray County, Colorado",4722
"Park County, Colorado",17392
"Phillips County, Colorado",4318
"Pitkin County, Colorado",17909
"Prowers County, Colorado",12052
"Pueblo County, Colorado",164685
"Rio Blanco County, Colorado",6465
"Rio Grande County, Colorado",11351
"Routt County, Colorado",24874
"Saguache County, Colorado",6468
"San Juan County, Colorado",544
"San Miguel County, Colorado",7968
"Sedgwick County, Colorado",2350
"Summit County, Colorado",30429
"Teller County, Colorado",24113
"Washington County, Colorado",4840
"Weld County, Colorado",295123
"Yuma County, Colorado",10069
"Fairfield County, Connecticut",944348
"Hartford County, Connecticut",894730
"Litchfield County, Connecticut",183031
"Middlesex County, Connecticut",163368
"New Haven County, Connecticut",859339
"New London County, Connecticut",268881
"Tolland County, Connecticut",151269
"Windham County, Connecticut",116538
"Kent County, Delaware",174822
"New Castle County, Delaware",555133
"Sussex County, Delaware",219540
"District of Columbia, District of Columbia",684498
"Alachua County, Florida",263148
"Baker County, Florida",27785
"Bay County, Florida",182482
"Bradford County, Florida",26979
"Brevard County, Florida",576808
"Broward County, Florida",1909151
"Calhoun County, Florida",14444
"Charlotte County, Florida",176954
"Citrus County, Florida",143087
"Clay County, Florida",207291
"Collier County, Florida",363922
"Columbia County, Florida",69105
"DeSoto County, Florida",36399
"Dixie County, Florida",16437
"Duval County, Florida",924229
"Escambia County, Florida",311522
"Flagler County, Florida",107139
"Franklin County, Florida",11736
"Gadsden County, Florida",46017
"Gilchrist County, Florida",17615
"Glades County, Florida",13363
"Gulf County, Florida",16055
"Hamilton County, Florida",14269
"Hardee County, Florida",27228
"Hendry County, Florida",40127
"Hernando County, Florida",182696
"Highlands County, Florida",102101
"Hillsborough County, Florida",1378883
"Holmes County, Florida",19430
"Indian River County, Florida",150984
"Jackson County, Florida",48472
"Jefferson County, Florida",14105
"Lafayette County, Florida",8744
"Lake County, Florida",335362
"Lee County, Florida",718679
"Leon County, Florida",288102
"Levy County, Florida",39961
"Liberty County, Florida",8365
"Madison County, Florida",18474
"Manatee County, Florida",373853
"Marion County, Florida",348371
"Martin County, Florida",157581
"Miami-Dade County, Florida",2715516
"Monroe County, Florida",76325
"Nassau County, Florida",80578
